normals
  -0, 0, 1
  1, 0, 0
  -0, 1, 0
  -1, -0, 0
  -0, -0, -1
  -0.57735, -0.57735, 0.57735
  -0.57735, 0.57735, 0.57735
  -0.57735, -0.57735, -0.57735
  -0.57735, 0.57735, -0.57735
  0.57735, -0.57735, 0.57735
  0.57735, 0.57735, 0.57735
  0.57735, -0.57735, -0.57735
  0.57735, 0.57735, -0.57735
  -0.707107, -0.707107, 0
  -0.707107, 0, 0.707107
  -0.707107, 0.707107, 0
  -0.707107, 0, -0.707107
  0, -0.707107, -0.707107
  0, 0.707107, -0.707107
  0.707107, 0, -0.707107
  0.707107, -0.707107, 0
  0.707107, 0.707107, 0
  0.707107, 0, 0.707107
  0, -0.707107, 0.707107
  0, 0.707107, 0.707107
  -0, -1, -0
  0, 0, 1
  1, 0, -0
  0, 1, 0
  -1, -0, -0
  0, 0, -1
  -0.707107, -0.707107, -0
  -0.707107, 0, 0.707107
  -0.707107, 0.707107, 0
  -0.707107, 0, -0.707107
  0, -0.707107, -0.707107
  0, 0.707107, -0.707107
  0.707107, 0, -0.707107
  0.707107, -0.707107, 0
  0.707107, 0.707107, 0
  0.707107, -0, 0.707107
  0, -0.707107, 0.707107
  -0, 0.707107, 0.707107
  0, -1, 0
edges
  1, 16
  1, 14
  14, 16
  13, 22
  13, 20
  20, 22
  9, 15
  15, 21
  9, 21
  5, 7
  2, 7
  2, 5
  10, 19
  8, 19
  8, 10
  0, 1
  1, 2
  0, 2
  3, 4
  4, 5
  3, 5
  6, 7
  7, 8
  6, 8
  9, 10
  10, 11
  9, 11
  12, 13
  13, 14
  12, 14
  15, 16
  16, 17
  15, 17
  18, 19
  19, 20
  18, 20
  21, 22
  22, 23
  21, 23
  0, 7
  0, 6
  2, 3
  1, 3
  5, 9
  4, 9
  8, 11
  6, 19
  6, 18
  10, 21
  20, 23
  13, 18
  12, 18
  15, 22
  14, 17
  1, 12
  0, 12
  4, 16
  4, 15
  0, 18
  3, 16
  17, 22
  13, 17
  5, 11
  7, 11
  10, 23
  19, 23
edge adj faces
  0, 26
  0, 41
  0, 22
  1, 27
  1, 38
  1, 19
  2, 28
  2, 21
  2, 18
  3, 29
  3, 31
  3, 32
  4, 30
  4, 35
  4, 16
  5, 23
  5, 14
  5, 31
  6, 42
  6, 15
  6, 32
  7, 13
  7, 34
  7, 35
  8, 18
  8, 16
  8, 33
  9, 20
  9, 40
  9, 41
  10, 24
  10, 22
  10, 39
  11, 17
  11, 37
  11, 38
  12, 21
  12, 19
  12, 36
  13, 31
  13, 25
  14, 32
  14, 26
  15, 33
  15, 28
  16, 34
  17, 35
  17, 25
  18, 36
  19, 37
  20, 38
  20, 43
  21, 39
  22, 40
  23, 41
  23, 43
  24, 42
  24, 28
  25, 43
  26, 42
  27, 39
  27, 40
  29, 33
  29, 34
  30, 36
  30, 37
